id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26654,"World Class CN Tower, convention centre, Theatre",113345,Adela,Toronto,Waterfront Communities-The Island,43.64608,-79.39032,Entire home/apt,145,28,42,01-09-2023,0.26,5,232
40701,"Bright Beaches Apt, close to everything",175687,John,Toronto,The Beaches,43.67239,-79.28858,Entire home/apt,80,28,7,26-11-2023,0.05,2,34
44452,Yonge & Bloor Studio Skyline,195095,Urbano,Toronto,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,126,28,66,04-08-2023,0.4,11,336
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,Toronto,Rosedale-Moore Park,43.67129,-79.38634,Private room,104,30,8,27-08-2017,0.05,11,283
45399,Fountain View Studio - Eaton center,195095,Urbano,Toronto,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,146,28,87,30-04-2024,0.52,11,302
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,Toronto,Rosedale-Moore Park,43.67128,-79.38422,Private room,105,28,9,02-09-2018,0.06,11,283
45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,Toronto,Rosedale-Moore Park,43.6718,-79.38488,Private room,99,28,22,24-06-2023,0.13,11,174
50110,Yorkville one bedroom Condo,195095,Urbano,Toronto,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,163,28,60,21-05-2024,0.36,11,285
62545,Furnished Heritage Rooms Downtown 1,304551,Kintoo,Toronto,Niagara,43.64611,-79.4071,Private room,50,90,23,20-12-2019,0.14,8,192
64635,Furnished Heritage Rooms Downtown 2,304551,Kintoo,Scarborough,Niagara,43.64482,-79.40897,Private room,50,120,17,01-09-2023,0.11,8,286
64641,Furnished Heritage Rooms Downtown,304551,Kintoo,Toronto,Niagara,43.64453,-79.40736,Private room,50,120,24,30-04-2024,0.15,8,172
66856,Furnished Downtown Room,304551,Kintoo,Toronto,Niagara,43.64642,-79.40736,Private room,50,180,4,28-02-2024,0.02,8,283
96336,John & Bren's Queen West 3 bedroom townhouse,511506,Brenda,Toronto,Niagara,43.64388,-79.41011,Entire home/apt,309,3,157,08-06-2024,1.21,1,18
112842,Gorgeous Condo near High Park!!,575127,Micheline,Etobicoke,High Park North,43.65703,-79.46719,Entire home/apt,66,120,12,05-03-2017,0.08,1,131
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,174063,Denis,Toronto,South Parkdale,43.63737,-79.44022,Entire home/apt,82,85,84,04-03-2024,0.53,4,284
131401,Waterfront Luxury Suite 1 Bd - Downtown SuperHost,604233,Waterfront ExecSuites,North York,Niagara,43.63649,-79.40171,Entire home/apt,82,150,11,17-05-2023,0.1,1,178
146601,Modern 1BR Downtown - Blue Jays Way,436139,Brian,Toronto,Waterfront Communities-The Island,43.64584,-79.39051,Entire home/apt,100,28,8,30-09-2021,0.05,1,19
184784,2 bd Apt at Yonge & Bloor Yorkville,656777,Pere,Toronto,Church-Yonge Corridor,43.67005,-79.38372,Entire home/apt,279,180,63,30-04-2023,0.4,1,345
192860,modern clean quiet 2B@ High Park -40% monthly,533496,Eberhard,Toronto,Junction Area,43.66492,-79.47384,Entire home/apt,120,185,129,29-02-2024,0.83,2,219
196584,Spacious 1 Bedroom Suite on Subway Line!,957466,Karen,Toronto,Oakridge,43.69431,-79.28563,Entire home/apt,92,18,54,17-05-2024,0.57,1,290
207206,Beautiful Newly Renovated 2BDM Home,1019538,Stefan,York,Little Portugal,43.6471,-79.4376,Entire home/apt,300,28,22,11-01-2023,0.15,1,363
224775,"Location, Location downtown Toronto /  Lower Rate",1170217,Frank,Scarborough,Church-Yonge Corridor,43.6619,-79.37727,Private room,80,28,39,07-06-2024,0.36,2,205
228568,BEST VIEW in the City! Luxury condo,934821,Robert,Toronto,Cabbagetown-South St.James Town,43.66593,-79.37655,Entire home/apt,325,28,76,11-09-2023,0.5,2,37
